cik,subset,ticker,label,Fiscal Period,Cost of Goods Sold,"Depreciation, Depletion and Amortization",EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
354190,train,AJG,False,Dec 2017,4519.0,386.0,484.0,870.0,1726.0,2692.0,11454.0,481.0,1222.0,6246.0,14910.0,7269.0,6730.0,0.0,10610.0,1215.0,4484.0
354190,train,AJG,False,Dec 2018,4984.0,419.0,618.0,1037.0,1940.0,3091.0,13561.0,634.0,1559.0,6924.0,16334.0,8119.0,7694.0,0.0,11764.0,1323.0,5366.0
354190,train,AJG,False,Dec 2019,4831.0,474.0,806.0,1280.0,2289.0,3816.0,17913.0,669.0,1901.0,7120.0,19635.0,9118.0,8921.0,0.0,14419.0,1543.0,5892.0
354190,train,AJG,False,Dec 2020,4500.0,562.0,1067.0,1630.0,2509.0,4266.0,23963.0,819.0,2372.0,7009.0,22331.0,11124.0,10135.0,0.0,16099.0,1469.0,6893.0
1585521,test,ZM,False,Jan 2017,12.0,1.0,-5.0,1.0,48.0,15.0,21267.0,0.0,-33.0,61.0,215.0,183.0,69.0,0.0,242.0,48.0,25.0
1585521,test,ZM,False,Jan 2018,31.0,3.0,-5.0,-2.0,121.0,15.0,21267.0,-4.0,-33.0,151.0,215.0,183.0,69.0,0.0,242.0,126.0,25.0
1585521,test,ZM,False,Jan 2019,61.0,7.0,6.0,13.0,270.0,15.0,21267.0,8.0,-25.0,331.0,355.0,277.0,152.0,0.0,362.0,263.0,64.0
1585521,test,ZM,False,Jan 2020,115.0,16.0,13.0,29.0,507.0,15.0,21267.0,25.0,0.0,623.0,1290.0,1096.0,334.0,0.0,456.0,495.0,120.0
1585521,test,ZM,False,Jan 2021,822.0,29.0,660.0,689.0,1829.0,15.0,109221.0,672.0,672.0,2651.0,5298.0,4793.0,1260.0,0.0,1437.0,1170.0,295.0
1068887,train,ACDO,False,Jun 2000,395.0,4.0,29.0,33.0,67.0,225.0,0.0,17.0,28.0,462.0,289.0,185.0,97.0,31.0,98.0,40.0,93.0
1068887,train,ACDO,False,Jun 2001,395.0,4.0,29.0,33.0,67.0,225.0,0.0,17.0,28.0,462.0,289.0,185.0,97.0,31.0,98.0,40.0,93.0
1068887,train,ACDO,False,Jun 2002,545.0,4.0,49.0,53.0,109.0,225.0,0.0,30.0,58.0,654.0,925.0,533.0,223.0,121.0,451.0,59.0,338.0
1068887,train,ACDO,False,Jun 2003,1086.0,14.0,58.0,72.0,287.0,178.0,0.0,30.0,87.0,1373.0,915.0,502.0,206.0,90.0,396.0,228.0,335.0
1068887,train,ACDO,False,Jun 2004,1198.0,16.0,136.0,153.0,319.0,175.0,0.0,78.0,165.0,1517.0,998.0,549.0,193.0,128.0,389.0,181.0,359.0
1509991,val,KOS,False,Dec 2016,260.0,151.0,-259.0,-108.0,51.0,1322.0,2711.0,-284.0,-850.0,310.0,3341.0,475.0,370.0,74.0,2260.0,305.0,143.0
1509991,val,KOS,False,Dec 2017,382.0,265.0,-107.0,158.0,196.0,1283.0,2667.0,-223.0,-1073.0,578.0,3193.0,534.0,429.0,72.0,2295.0,284.0,161.0
1509991,val,KOS,False,Dec 2018,555.0,339.0,40.0,379.0,332.0,2121.0,1623.0,-94.0,-1167.0,887.0,4088.0,510.0,384.0,85.0,3147.0,408.0,140.0
1509991,val,KOS,False,Dec 2019,966.0,573.0,150.0,723.0,533.0,2008.0,2289.0,-56.0,-1223.0,1499.0,4317.0,567.0,539.0,114.0,3476.0,291.0,174.0
1509991,val,KOS,False,Dec 2020,824.0,495.0,-314.0,181.0,-20.0,2104.0,953.0,-412.0,-1635.0,804.0,3868.0,400.0,460.0,129.0,3427.0,172.0,79.0
350797,train,EV,False,Oct 2016,708.0,20.0,451.0,471.0,635.0,572.0,3996.0,241.0,773.0,1343.0,1730.0,615.0,270.0,0.0,1026.0,221.0,191.0
350797,train,EV,False,Oct 2017,816.0,19.0,497.0,516.0,716.0,619.0,5982.0,282.0,921.0,1532.0,2331.0,816.0,333.0,0.0,1319.0,233.0,205.0
350797,train,EV,False,Oct 2018,876.0,25.0,577.0,602.0,816.0,1493.0,5269.0,382.0,1151.0,1692.0,3599.0,1059.0,377.0,0.0,2491.0,261.0,242.0
350797,train,EV,False,Oct 2019,885.0,24.0,636.0,660.0,799.0,2238.0,5179.0,400.0,1250.0,1683.0,4254.0,849.0,386.0,0.0,3070.0,278.0,243.0
350797,train,EV,False,Oct 2020,1050.0,23.0,405.0,429.0,680.0,2238.0,6856.0,139.0,1217.0,1730.0,4949.0,1146.0,417.0,0.0,3626.0,306.0,255.0
215310,train,BMMI,False,Dec 1998,306.0,23.0,26.0,50.0,48.0,166.0,0.0,8.0,93.0,354.0,384.0,150.0,60.0,82.0,247.0,23.0,42.0
