cik,subset,ticker,label,Fiscal Period,Cost of Goods Sold,"Depreciation, Depletion and Amortization",EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
1219601,train,CCK,False,Dec 2019,7575.0,490.0,998.0,1488.0,1984.0,7818.0,9835.0,510.0,3959.0,9559.0,15505.0,4002.0,3899.0,1626.0,13413.0,997.0,1528.0
1219601,train,CCK,False,Dec 2020,7359.0,481.0,1015.0,1496.0,2033.0,8023.0,13507.0,579.0,4538.0,9392.0,16691.0,4903.0,4282.0,1263.0,14087.0,998.0,1522.0
896262,train,AMED,False,Dec 2016,834.0,20.0,67.0,86.0,585.0,88.0,1432.0,37.0,-31.0,1419.0,734.0,215.0,181.0,0.0,273.0,523.0,176.0
896262,train,AMED,False,Dec 2017,903.0,17.0,86.0,103.0,608.0,78.0,1790.0,30.0,0.0,1511.0,813.0,311.0,215.0,0.0,297.0,499.0,214.0
896262,train,AMED,False,Dec 2018,993.0,13.0,166.0,180.0,670.0,6.0,3744.0,119.0,120.0,1663.0,717.0,224.0,222.0,0.0,234.0,515.0,194.0
896262,train,AMED,False,Dec 2019,1150.0,54.0,185.0,239.0,805.0,231.0,5389.0,127.0,246.0,1956.0,1263.0,351.0,327.0,0.0,621.0,626.0,243.0
896262,train,AMED,False,Dec 2020,1185.0,68.0,222.0,290.0,886.0,205.0,9625.0,184.0,430.0,2072.0,1567.0,362.0,456.0,0.0,756.0,663.0,264.0
810136,train,PLAB,False,Oct 2017,359.4,86.6,31.9,118.4,91.3,57.3,666.1,13.1,189.4,450.7,1020.8,449.1,81.8,23.7,155.5,59.4,105.3
810136,train,PLAB,False,Oct 2018,403.8,84.3,70.8,155.2,131.5,41.9,654.0,42.1,231.4,535.3,1110.0,502.7,191.1,29.2,205.4,65.9,120.5
810136,train,PLAB,False,Oct 2019,429.8,83.9,52.1,136.0,120.8,41.9,774.0,29.8,253.9,550.7,1118.7,427.5,152.0,48.2,207.6,68.7,165.1
810136,train,PLAB,False,Oct 2020,475.0,93.8,64.0,157.8,134.7,55.0,615.6,33.8,279.0,609.7,1188.2,500.1,142.9,57.3,225.9,70.7,163.5
810136,train,PLAB,False,Oct 2021,496.7,90.4,103.7,194.1,167.0,58.4,779.7,55.4,317.8,663.8,1294.2,550.6,176.1,55.2,293.6,72.5,216.5
849547,train,BBOX,False,Mar 2014,690.2,17.5,28.6,46.1,302.3,137.3,321.7,15.3,258.4,992.4,686.3,339.2,187.7,54.4,349.1,273.7,229.9
849547,train,BBOX,False,Mar 2015,690.2,17.5,28.6,46.1,302.3,137.3,321.7,15.3,258.4,992.4,686.3,339.2,187.7,54.4,349.1,273.7,229.9
849547,train,BBOX,False,Mar 2016,642.3,18.9,4.4,23.2,270.3,119.7,202.3,-171.1,80.6,912.7,475.8,299.4,170.4,42.7,319.6,266.0,205.9
849547,train,BBOX,False,Mar 2017,612.8,18.7,-0.8,17.9,243.0,88.8,133.9,-7.1,66.2,855.7,427.1,268.6,177.5,25.4,285.5,243.7,200.5
849547,train,BBOX,False,Mar 2018,559.9,17.0,-34.1,-17.2,214.8,0.5,30.3,-100.1,-35.7,774.6,376.3,286.8,309.0,27.0,326.0,248.9,196.9
1520006,val,MTDR,False,Dec 2016,227.0,122.0,-70.0,52.0,70.0,574.0,2563.0,-97.0,-636.0,296.0,1465.0,279.0,170.0,3.0,773.0,56.0,59.0
1520006,val,MTDR,False,Dec 2017,316.0,178.0,164.0,342.0,223.0,574.0,3378.0,126.0,-510.0,539.0,2146.0,257.0,283.0,6.0,888.0,67.0,141.0
1520006,val,MTDR,False,Dec 2018,465.0,265.0,333.0,599.0,367.0,1298.0,1807.0,274.0,-236.0,832.0,3456.0,306.0,330.0,18.0,1676.0,71.0,146.0
1520006,val,MTDR,False,Dec 2019,666.0,351.0,232.0,583.0,362.0,1582.0,2096.0,88.0,-148.0,1028.0,4070.0,278.0,400.0,11.0,2100.0,82.0,189.0
1520006,val,MTDR,False,Dec 2020,634.0,362.0,-522.0,-161.0,221.0,1815.0,1409.0,-593.0,-742.0,855.0,3687.0,262.0,291.0,11.0,2174.0,65.0,137.0
1138723,train,ARAY,False,Jun 2017,242.1,18.0,-11.2,6.8,141.3,51.5,397.8,-29.6,-450.4,383.4,406.5,309.0,284.5,105.1,359.9,151.2,72.8
1138723,train,ARAY,False,Jun 2018,243.2,9.7,-8.1,1.7,161.7,131.1,353.1,-23.9,-474.3,404.9,378.7,284.2,169.4,108.5,330.1,165.5,66.0
1138723,train,ARAY,False,Jun 2019,256.1,10.5,0.7,11.2,162.7,159.8,342.6,-16.4,-485.5,418.8,438.2,344.1,192.2,120.8,388.3,162.1,111.9
1138723,train,ARAY,False,Jun 2020,233.2,7.5,23.8,31.3,149.7,189.3,185.1,3.8,-481.7,382.9,490.9,357.5,182.3,134.4,427.3,137.2,90.6
1138723,train,ARAY,False,Jun 2021,236.8,6.4,12.3,18.7,159.5,170.0,410.5,-6.3,-488.0,396.3,480.1,352.8,192.4,125.9,411.3,137.3,85.4
18926,train,LUMN,False,Dec 2016,7774.0,3916.0,2338.0,6254.0,9696.0,18185.0,12997.0,626.0,-1.0,17470.0,47017.0,5162.0,5349.0,134.0,33618.0,7363.0,2068.0
18926,train,LUMN,False,Dec 2017,8203.0,3936.0,2021.0,5957.0,9453.0,37283.0,17834.0,1389.0,1103.0,17656.0,75611.0,4194.0,4857.0,128.0,52120.0,7444.0,2815.0
18926,train,LUMN,False,Dec 2018,9134.0,5120.0,614.0,5734.0,12581.0,35409.0,16365.0,-1733.0,-1643.0,22580.0,70256.0,3820.0,5531.0,120.0,50428.0,9285.0,2532.0
18926,train,LUMN,False,Dec 2019,9134.0,4829.0,-2745.0,2084.0,12324.0,32394.0,14400.0,-5269.0,-6814.0,21458.0,64742.0,4768.0,7258.0,105.0,51272.0,8544.0,2336.0
18926,train,LUMN,False,Dec 2020,8934.0,4710.0,886.0,5596.0,11778.0,29410.0,10695.0,-1232.0,-8031.0,20712.0,59394.0,3176.0,6634.0,105.0,48232.0,8174.0,2035.0
1002047,train,NTAP,False,Apr 2017,2127.0,226.0,673.0,899.0,3364.0,744.0,10720.0,481.0,40.0,5491.0,9493.0,6198.0,4122.0,163.0,6713.0,2701.0,731.0
1002047,train,NTAP,False,Apr 2018,2210.0,198.0,1261.0,1459.0,3709.0,1541.0,17511.0,116.0,-9.0,5919.0,9991.0,6952.0,3531.0,122.0,7715.0,2769.0,1047.0
1002047,train,NTAP,False,Apr 2019,2201.0,197.0,1326.0,1523.0,3945.0,1144.0,17484.0,1169.0,211.0,6146.0,8741.0,5610.0,3867.0,131.0,7651.0,2762.0,1216.0
1002047,train,NTAP,False,Apr 2020,1789.0,193.0,999.0,1192.0,3623.0,1146.0,9586.0,819.0,211.0,5412.0,7522.0,4274.0,3616.0,145.0,7280.0,2695.0,973.0
1002047,train,NTAP,False,Apr 2021,1929.0,207.0,1036.0,1243.0,3815.0,2632.0,16581.0,730.0,211.0,5744.0,9360.0,6001.0,3452.0,114.0,8675.0,2882.0,945.0
1294016,train,RKUS,False,Dec 2011,47.2,2.1,5.5,7.6,72.8,5.2,1660.1,4.2,-55.3,120.0,65.7,45.7,48.6,10.9,110.4,66.1,20.4
1294016,train,RKUS,False,Dec 2012,75.8,4.8,14.9,19.8,138.9,5.2,1660.1,31.7,-23.6,214.7,243.8,210.7,69.6,19.0,73.6,120.3,41.3
1294016,train,RKUS,False,Dec 2013,88.2,6.6,0.2,6.8,174.9,5.2,1145.8,1.8,-21.8,263.1,283.2,230.7,70.3,16.7,79.4,174.7,44.6
1294016,train,RKUS,False,Dec 2014,103.1,9.6,14.4,24.0,223.8,5.2,1023.0,8.2,-13.6,326.9,354.0,295.4,81.8,21.1,94.3,209.4,59.6
1294016,train,RKUS,False,Dec 2015,120.1,11.6,7.4,19.0,253.3,5.2,956.9,4.7,-8.9,373.4,418.8,342.6,89.6,26.6,107.3,245.9,70.6
1253710,train,CANOQ,False,Jun 2005,16.0,6.0,-26.0,-20.0,29.0,74.0,0.0,-18.0,-37.0,45.0,278.0,10.0,24.0,1.0,194.0,23.0,5.0
1253710,train,CANOQ,False,Jun 2006,16.0,6.0,-26.0,-20.0,29.0,74.0,0.0,-18.0,-37.0,45.0,278.0,10.0,24.0,1.0,194.0,23.0,5.0
1253710,train,CANOQ,False,Jun 2007,16.0,6.0,-26.0,-20.0,29.0,74.0,0.0,-18.0,-37.0,45.0,278.0,10.0,24.0,1.0,194.0,23.0,5.0
1253710,train,CANOQ,False,Jun 2008,16.0,6.0,-26.0,-20.0,29.0,74.0,0.0,-18.0,-37.0,45.0,278.0,10.0,24.0,1.0,194.0,23.0,5.0
1253710,train,CANOQ,False,Jun 2009,19.0,6.0,-16.0,-59.0,7.0,56.0,0.0,0.0,-40.0,25.0,264.0,9.0,9.0,1.0,116.0,66.0,3.0
1382101,train,STRO,False,Dec 2016,0.0,5.7,1.7,7.4,59.7,10.0,206.1,1.7,-95.3,59.7,69.3,49.7,50.2,0.0,160.2,58.4,0.6
1382101,train,STRO,False,Dec 2017,0.0,5.0,-19.0,-14.0,51.7,10.0,206.1,-19.7,-115.0,51.7,40.8,25.6,32.0,0.0,149.8,71.0,1.6
1382101,train,STRO,False,Dec 2018,0.0,4.5,-37.2,-32.7,38.4,10.0,206.1,-35.3,-150.3,38.4,223.1,209.9,36.4,0.0,91.6,75.6,2.5
1382101,train,STRO,False,Dec 2019,0.0,4.8,-51.4,-46.6,42.7,8.9,254.1,-55.7,-195.7,42.7,156.4,128.6,33.0,0.0,58.6,98.2,6.3
1382101,train,STRO,False,Dec 2020,0.0,4.3,-28.1,-23.8,42.7,24.5,993.3,-32.1,-227.9,42.7,394.1,378.2,29.6,0.0,62.1,113.8,5.6
1021010,train,EPEXQ,True,Dec 2004,17.0,40.0,51.0,92.0,104.0,85.0,0.0,33.0,55.0,121.0,343.0,37.0,26.0,2.0,152.0,53.0,27.0
1021010,train,EPEXQ,True,Dec 2005,17.0,40.0,51.0,92.0,104.0,85.0,0.0,33.0,55.0,121.0,343.0,37.0,26.0,2.0,152.0,53.0,27.0
1021010,train,EPEXQ,True,Dec 2006,18.0,61.0,-60.0,1.0,111.0,129.0,0.0,-41.0,14.0,130.0,322.0,32.0,22.0,2.0,166.0,172.0,20.0
1021010,train,EPEXQ,True,Dec 2007,30.0,93.0,21.0,114.0,145.0,260.0,0.0,7.0,13.0,175.0,775.0,54.0,52.0,2.0,340.0,123.0,36.0
1021010,train,EPEXQ,True,Dec 2008,27.0,88.0,-337.0,-336.0,132.0,260.0,0.0,-333.0,-327.0,159.0,358.0,49.0,252.0,1.0,260.0,468.0,20.0
20740,train,CLC,False,Nov 2012,741.0,32.0,184.0,215.0,380.0,16.0,2303.0,123.0,903.0,1122.0,1206.0,655.0,175.0,211.0,303.0,198.0,214.0
20740,train,CLC,False,Nov 2013,761.0,32.0,175.0,207.0,370.0,116.0,3049.0,118.0,989.0,1131.0,1449.0,892.0,208.0,219.0,415.0,196.0,226.0
20740,train,CLC,False,Nov 2014,1016.0,50.0,215.0,266.0,497.0,411.0,3308.0,144.0,1097.0,1513.0,1889.0,729.0,224.0,275.0,783.0,287.0,306.0
20740,train,CLC,False,Nov 2015,992.0,57.0,204.0,260.0,489.0,397.0,2595.0,135.0,1149.0,1481.0,1818.0,665.0,204.0,275.0,707.0,291.0,262.0
20740,train,CLC,False,Nov 2016,928.0,59.0,209.0,268.0,462.0,268.0,3422.0,139.0,1215.0,1390.0,1739.0,625.0,204.0,238.0,597.0,281.0,231.0
1606498,test,AVNS,False,Dec 2016,269.0,65.2,-106.5,-41.3,297.2,579.0,1726.3,39.8,-379.2,566.2,2071.8,593.5,324.4,80.7,969.3,404.3,188.5
1606498,test,AVNS,False,Dec 2017,274.7,59.5,-40.6,18.9,336.9,541.1,2166.8,79.3,-299.9,611.6,2195.9,1160.7,389.8,91.1,980.5,380.0,203.0
1606498,test,AVNS,False,Dec 2018,261.4,33.5,8.3,41.8,390.9,247.7,2125.0,57.5,-242.4,652.3,1833.4,713.6,264.3,121.4,536.2,390.4,150.5
1606498,test,AVNS,False,Dec 2019,295.4,36.9,-49.0,-12.1,402.2,248.1,1608.6,-45.9,-288.3,697.6,1799.6,538.5,212.5,145.9,534.4,457.9,163.8
1606498,test,AVNS,False,Dec 2020,341.5,42.9,-44.9,-2.0,373.3,180.0,2198.5,-27.2,-315.5,714.8,1672.8,467.2,166.3,168.9,416.3,419.4,167.9
1704292,test,ZLAB,False,Dec 2016,0.0,0.2,-37.5,-37.3,0.1,0.0,106.0,-37.5,-60.2,0.1,88.9,84.1,5.2,0.0,140.5,38.5,0.1
1704292,test,ZLAB,False,Dec 2017,0.0,0.5,-50.1,-49.6,0.1,0.0,106.0,-50.4,-110.6,0.1,249.6,230.6,12.1,0.0,14.5,51.4,0.1
1704292,test,ZLAB,False,Dec 2018,0.0,1.6,-138.4,-136.8,0.1,0.0,135.5,-139.1,-249.6,0.1,302.0,269.1,48.8,0.0,50.9,141.9,0.1
1704292,test,ZLAB,False,Dec 2019,3.7,3.8,-194.0,-190.3,9.2,0.0,284.4,-195.1,-444.7,13.0,355.2,292.5,46.6,6.0,60.5,212.4,3.8
1704292,test,ZLAB,False,Dec 2020,16.7,4.6,-267.6,-263.0,32.2,0.0,11884.3,-268.9,-713.6,49.0,1297.6,1216.0,98.0,13.1,128.3,334.0,5.2
1267097,train,TRW,False,Dec 2010,14384.0,447.0,1260.0,1707.0,1860.0,1369.0,4034.0,1157.0,1668.0,16244.0,10262.0,4627.0,3840.0,845.0,6924.0,600.0,2222.0
1267097,train,TRW,False,Dec 2011,14384.0,447.0,1260.0,1707.0,1860.0,1369.0,4034.0,1157.0,1668.0,16244.0,10262.0,4627.0,3840.0,845.0,6924.0,600.0,2222.0
1267097,train,TRW,False,Dec 2012,14655.0,409.0,1085.0,1494.0,1789.0,1369.0,6395.0,1008.0,2408.0,16444.0,10857.0,4728.0,3881.0,975.0,6897.0,704.0,2200.0
1267097,train,TRW,False,Dec 2013,15505.0,430.0,1227.0,1657.0,1930.0,1369.0,8503.0,970.0,2858.0,17435.0,12252.0,5628.0,4755.0,1019.0,7654.0,703.0,2478.0
1267097,train,TRW,False,Dec 2014,15473.0,444.0,501.0,945.0,2066.0,1369.0,11781.0,293.0,2751.0,17539.0,11294.0,5100.0,4344.0,972.0,7060.0,1565.0,2432.0
1172243,train,MTCT,False,Dec 2003,230.0,3.0,29.0,33.0,43.0,51.0,0.0,18.0,30.0,273.0,194.0,115.0,44.0,4.0,47.0,15.0,73.0
1172243,train,MTCT,False,Dec 2004,230.0,3.0,29.0,33.0,43.0,51.0,0.0,18.0,30.0,273.0,194.0,115.0,44.0,4.0,47.0,15.0,73.0
1172243,train,MTCT,False,Dec 2005,313.0,7.0,38.0,45.0,61.0,51.0,0.0,21.0,52.0,373.0,286.0,112.0,59.0,8.0,114.0,23.0,82.0
1172243,train,MTCT,False,Dec 2006,351.0,9.0,36.0,45.0,65.0,80.0,0.0,19.0,70.0,415.0,334.0,122.0,69.0,12.0,155.0,29.0,91.0
1172243,train,MTCT,False,Dec 2007,368.0,10.0,19.0,30.0,57.0,68.0,0.0,8.0,78.0,426.0,344.0,135.0,82.0,14.0,159.0,39.0,84.0
800459,train,HAR,False,Jun 2012,3194.0,128.0,201.0,329.0,1104.0,255.0,3688.0,142.0,1827.0,4298.0,3236.0,2089.0,1078.0,550.0,1591.0,903.0,723.0
800459,train,HAR,False,Jun 2013,3194.0,128.0,201.0,329.0,1104.0,255.0,3688.0,142.0,1827.0,4298.0,3236.0,2089.0,1078.0,550.0,1591.0,903.0,723.0
800459,train,HAR,False,Jun 2014,3892.0,132.0,330.0,462.0,1457.0,519.0,7315.0,235.0,1979.0,5348.0,4126.0,2459.0,1486.0,662.0,2332.0,1127.0,895.0
800459,train,HAR,False,Jun 2015,4338.0,169.0,470.0,639.0,1817.0,1081.0,8471.0,343.0,2230.0,6155.0,5866.0,2829.0,2071.0,694.0,3455.0,1348.0,1024.0
800459,train,HAR,False,Jun 2016,4819.0,224.0,580.0,804.0,2093.0,1317.0,5031.0,362.0,2491.0,6912.0,6054.0,2918.0,1832.0,706.0,3602.0,1513.0,1123.0
1596532,test,ANET,False,Dec 2016,406.0,20.0,245.0,265.0,723.0,98.0,6852.0,184.0,435.0,1129.0,1729.0,1526.0,460.0,236.0,621.0,480.0,253.0
1596532,test,ANET,False,Dec 2017,584.0,21.0,478.0,498.0,1062.0,98.0,17364.0,423.0,859.0,1646.0,2461.0,2266.0,530.0,306.0,799.0,591.0,247.0
1596532,test,ANET,False,Dec 2018,778.0,28.0,292.0,319.0,1373.0,98.0,15943.0,328.0,1191.0,2151.0,3082.0,2715.0,607.0,265.0,939.0,695.0,332.0
1596532,test,ANET,False,Dec 2019,866.0,33.0,806.0,839.0,1544.0,98.0,15538.0,860.0,1788.0,2411.0,4185.0,3472.0,597.0,244.0,1291.0,739.0,392.0
1596532,test,ANET,False,Dec 2020,836.0,35.0,700.0,735.0,1482.0,98.0,22134.0,635.0,2028.0,2318.0,4739.0,3837.0,768.0,480.0,1419.0,782.0,390.0
38074,train,FRX,False,Mar 2009,964.0,73.0,1338.0,1411.0,3456.0,3000.0,9242.0,1047.0,8108.0,4420.0,6922.0,5260.0,938.0,451.0,1424.0,2118.0,535.0
38074,train,FRX,False,Mar 2010,964.0,73.0,1338.0,1411.0,3456.0,3000.0,9242.0,1047.0,8108.0,4420.0,6922.0,5260.0,938.0,451.0,1424.0,2118.0,535.0
38074,train,FRX,False,Mar 2011,964.0,73.0,1338.0,1411.0,3456.0,3000.0,9242.0,1047.0,8108.0,4420.0,6922.0,5260.0,938.0,451.0,1424.0,2118.0,535.0
38074,train,FRX,False,Mar 2012,998.0,122.0,1238.0,1360.0,3588.0,3000.0,9214.0,979.0,9087.0,4586.0,7492.0,3586.0,900.0,298.0,1815.0,2350.0,472.0
38074,train,FRX,False,Mar 2013,649.0,147.0,-77.0,70.0,2445.0,3000.0,10138.0,-32.0,9055.0,3094.0,7630.0,2948.0,998.0,394.0,1884.0,2522.0,478.0
1466538,val,COWN,False,Dec 2016,381.0,13.0,-61.0,-48.0,91.0,207.0,414.0,-19.0,-2.0,472.0,2019.0,380.0,373.0,0.0,867.0,152.0,212.0
1466538,val,COWN,False,Dec 2017,553.0,13.0,-72.0,-59.0,106.0,772.0,404.0,-61.0,-70.0,659.0,3296.0,1232.0,962.0,0.0,2108.0,177.0,838.0
1466538,val,COWN,False,Dec 2018,750.0,12.0,-6.0,6.0,217.0,812.0,379.0,43.0,-35.0,967.0,3346.0,1638.0,1224.0,0.0,2270.0,223.0,1057.0
1466538,val,COWN,False,Dec 2019,832.0,20.0,73.0,94.0,332.0,2066.0,451.0,25.0,-17.0,1164.0,5162.0,1635.0,1221.0,0.0,3867.0,259.0,1088.0
1466538,val,COWN,False,Dec 2020,1215.0,23.0,309.0,332.0,541.0,2940.0,698.0,216.0,186.0,1756.0,7828.0,3147.0,2871.0,0.0,6659.0,232.0,2086.0
1133470,train,CVGW,False,Oct 2017,961.0,10.7,58.4,69.1,114.5,37.7,1292.2,37.3,78.4,1075.6,364.1,119.8,116.2,30.9,120.0,56.7,71.1
1133470,train,CVGW,False,Oct 2018,975.1,13.0,57.4,70.5,113.6,37.7,1704.0,32.3,93.1,1088.8,367.7,128.5,98.9,35.0,102.8,57.1,69.7
1133470,train,CVGW,False,Oct 2019,1067.7,13.6,64.5,78.1,128.1,37.7,1526.0,36.6,122.6,1195.8,390.4,127.5,90.6,36.9,104.5,59.1,66.3
1133470,train,CVGW,False,Oct 2020,969.5,16.1,-11.1,4.9,89.9,37.7,1185.6,-13.6,89.5,1059.4,429.6,135.9,106.3,41.8,173.6,95.3,74.3
1133470,train,CVGW,False,Oct 2021,998.4,17.6,1.3,18.9,57.4,37.7,711.0,-11.8,57.4,1055.8,445.4,152.6,114.6,40.8,218.5,52.1,90.4
878560,train,CAA,False,Dec 2012,1004.0,2.0,85.0,87.0,254.0,1634.0,1567.0,531.0,-77.0,1258.0,3113.0,2429.0,223.0,2043.0,1857.0,172.0,11.0
878560,train,CAA,False,Dec 2013,1445.0,22.0,264.0,286.0,495.0,1940.0,2512.0,189.0,111.0,1940.0,3662.0,3035.0,253.0,2634.0,2193.0,231.0,14.0
878560,train,CAA,False,Dec 2014,1793.0,27.0,343.0,370.0,618.0,2203.0,2006.0,216.0,327.0,2411.0,4152.0,3592.0,272.0,3340.0,2475.0,276.0,14.0
878560,train,CAA,False,Dec 2015,2720.0,41.0,386.0,427.0,776.0,3791.0,4599.0,214.0,536.0,3496.0,8429.0,6399.0,777.0,6153.0,4568.0,391.0,14.0
878560,train,CAA,False,Dec 2016,4997.0,62.0,726.0,788.0,1391.0,3667.0,3892.0,485.0,1002.0,6388.0,8709.0,6763.0,834.0,6505.0,4501.0,664.0,14.0
1047122,train,RTN,False,Dec 2015,17608.0,489.0,3074.0,3563.0,5713.0,5330.0,37234.0,2110.0,16903.0,23321.0,29281.0,9812.0,6126.0,635.0,18951.0,2646.0,5564.0
1047122,train,RTN,False,Dec 2016,17507.0,515.0,3317.0,3832.0,6617.0,5335.0,41606.0,2244.0,17565.0,24124.0,30238.0,10885.0,6539.0,608.0,20081.0,2721.0,6204.0
1047122,train,RTN,False,Dec 2017,18340.0,550.0,3318.0,3868.0,7008.0,4750.0,54101.0,2024.0,17895.0,25348.0,30860.0,11326.0,7348.0,594.0,20897.0,2777.0,6571.0
1047122,train,RTN,False,Dec 2018,19573.0,568.0,3331.0,3899.0,7485.0,4755.0,43245.0,2909.0,20087.0,27058.0,32670.0,12137.0,8463.0,758.0,21198.0,2947.0,7242.0
1047122,train,RTN,False,Dec 2019,21413.0,605.0,4166.0,4771.0,7763.0,3261.0,61176.0,3343.0,21480.0,29176.0,34566.0,13082.0,9791.0,671.0,22343.0,2989.0,7486.0
1002637,train,MLNM,False,Dec 2003,70.0,93.0,-293.0,-199.0,378.0,105.0,0.0,-252.0,-2269.0,448.0,2757.0,902.0,241.0,97.0,484.0,671.0,88.0
1002637,train,MLNM,False,Dec 2004,70.0,93.0,-293.0,-199.0,378.0,105.0,0.0,-252.0,-2269.0,448.0,2757.0,902.0,241.0,97.0,484.0,671.0,88.0
1002637,train,MLNM,False,Dec 2005,141.0,76.0,-217.0,-141.0,417.0,100.0,0.0,-198.0,-2467.0,558.0,2528.0,741.0,165.0,16.0,426.0,634.0,64.0
1002637,train,MLNM,False,Dec 2006,45.0,66.0,-87.0,-20.0,441.0,250.0,0.0,-44.0,-2511.0,487.0,2752.0,1016.0,226.0,14.0,607.0,528.0,95.0
1002637,train,MLNM,False,Dec 2007,28.0,57.0,-24.0,33.0,499.0,250.0,0.0,15.0,-2496.0,528.0,2737.0,1034.0,132.0,7.0,500.0,523.0,126.0
1488075,val,IL,False,Dec 2011,56.4,48.6,10.6,59.2,157.1,91.2,338.5,-1.2,-80.1,213.5,530.3,143.2,65.1,0.0,198.5,148.3,38.9
1488075,val,IL,False,Dec 2012,62.4,44.3,-21.2,23.2,154.3,75.2,342.4,-17.4,-97.4,216.7,489.8,129.5,66.5,0.0,167.7,176.6,37.7
1488075,val,IL,False,Dec 2013,64.9,44.5,-16.5,28.0,169.6,75.0,678.8,-15.3,-112.7,234.5,496.0,148.9,82.6,0.0,179.9,185.5,38.3
1488075,val,IL,False,Dec 2014,69.3,49.4,-24.1,25.4,186.5,77.9,679.3,-26.5,-139.2,255.8,471.9,110.1,87.7,0.0,170.9,208.2,47.3
1488075,val,IL,False,Dec 2015,76.0,50.7,-25.1,25.6,200.2,80.5,530.0,-30.4,-169.6,276.2,461.7,123.1,94.3,0.0,179.6,223.4,50.4
1037868,train,AME,False,Dec 2016,2585.0,180.0,787.0,967.0,1255.0,2063.0,11148.0,512.0,4404.0,3840.0,7101.0,1928.0,924.0,492.0,3844.0,464.0,592.0
1037868,train,AME,False,Dec 2017,2861.0,183.0,895.0,1078.0,1439.0,1866.0,16755.0,681.0,5002.0,4300.0,7796.0,1935.0,1139.0,541.0,3768.0,535.0,668.0
1037868,train,AME,False,Dec 2018,3186.0,199.0,1070.0,1269.0,1660.0,2274.0,15375.0,778.0,5654.0,4846.0,8662.0,1836.0,1259.0,625.0,4420.0,584.0,733.0
1037868,train,AME,False,Dec 2019,3371.0,234.0,1158.0,1392.0,1788.0,2271.0,22849.0,861.0,6388.0,5159.0,9845.0,2026.0,1426.0,625.0,4729.0,610.0,745.0
1037868,train,AME,False,Dec 2020,2997.0,255.0,1168.0,1424.0,1544.0,2281.0,27879.0,872.0,7095.0,4540.0,10357.0,2522.0,1076.0,559.0,4408.0,516.0,597.0
1365135,train,WU,False,Dec 2016,3267.0,263.0,494.0,757.0,2156.0,2786.0,10458.0,253.0,419.0,5423.0,9420.0,4812.0,5286.0,0.0,8517.0,1669.0,1327.0
1365135,train,WU,False,Dec 2017,3353.0,263.0,490.0,753.0,2171.0,3034.0,8726.0,-557.0,-966.0,5524.0,9231.0,5201.0,6159.0,0.0,9723.0,1232.0,1574.0
1365135,train,WU,False,Dec 2018,3301.0,265.0,1141.0,1406.0,2289.0,2809.0,7527.0,852.0,-839.0,5590.0,8997.0,4946.0,6058.0,0.0,9307.0,1167.0,1355.0
1365135,train,WU,False,Dec 2019,3087.0,258.0,1473.0,1731.0,2206.0,2984.0,11194.0,1058.0,-676.0,5292.0,8759.0,4946.0,5179.0,0.0,8798.0,1272.0,1230.0
1365135,train,WU,False,Dec 2020,2827.0,226.0,974.0,1199.0,2009.0,2987.0,9022.0,744.0,-543.0,4835.0,9496.0,5506.0,5408.0,0.0,9310.0,1041.0,1135.0
1584549,test,VFF,False,Dec 2016,142.3,8.2,-0.5,7.7,13.2,41.9,37.3,-2.0,35.5,155.5,135.0,37.3,19.6,16.1,67.6,13.7,10.7
1584549,test,VFF,False,Dec 2017,144.4,7.7,-2.4,5.3,14.0,35.8,257.3,-4.8,39.3,158.4,142.3,42.9,19.4,17.3,61.3,16.4,13.2
1584549,test,VFF,False,Dec 2018,140.7,7.0,-6.8,0.2,9.3,32.3,154.4,-7.5,21.9,150.0,141.4,60.3,23.6,25.0,57.0,15.6,22.5
1584549,test,VFF,False,Dec 2019,151.9,7.4,-14.7,-7.3,-7.3,29.0,328.1,2.3,24.3,144.6,183.4,54.6,22.0,15.9,56.9,21.5,25.5
1584549,test,VFF,False,Dec 2020,159.1,6.8,9.9,16.7,11.0,53.9,678.5,11.6,35.9,170.1,354.0,101.8,72.3,46.6,148.7,25.2,23.4
740260,train,VTR,False,Dec 2016,1442.0,909.0,1041.0,1950.0,2001.0,10981.0,22140.0,649.0,-2488.0,3444.0,23167.0,1421.0,1140.0,0.0,12638.0,1026.0,944.0
740260,train,VTR,False,Dec 2017,1486.0,904.0,1750.0,2654.0,2088.0,10737.0,21375.0,1356.0,-2241.0,3574.0,23955.0,1928.0,1876.0,0.0,13022.0,1023.0,1619.0
740260,train,VTR,False,Dec 2018,1691.0,939.0,819.0,1757.0,2055.0,9877.0,20892.0,409.0,-2930.0,3746.0,22585.0,1143.0,2042.0,0.0,12313.0,1066.0,800.0
740260,train,VTR,False,Dec 2019,1811.0,1069.0,835.0,1903.0,2062.0,11310.0,21526.0,433.0,-3669.0,3873.0,24692.0,1516.0,2111.0,0.0,14147.0,1204.0,1047.0
740260,train,VTR,False,Dec 2020,1940.0,1130.0,814.0,1945.0,1856.0,11702.0,18371.0,439.0,-4030.0,3795.0,23929.0,1531.0,1441.0,0.0,13651.0,1264.0,832.0
